Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2020,Brazil,BRA,Latin America & Caribbean,Upper middle income,18,"Civil Code, Arts. 5 and 1.517     ",Yes,"Civil Code, Art. 1.517     ",No,http://www.planalto.gov.br/ccivil_03/_Ato2019-2022/2019/Lei/L13811.htm#art1,No,No applicable provisions could be located     ,Yes,"Law No. 11340, Arts. 17, 43 and 44; Criminal Code, Arts. 61(f) and 129(9)  ",Yes,"Law No. 11.340, Arts. 8(IV) and 35(III); State Law No 5.467/1986",Yes,"ID card application procedures; Decree No. 9278, Arts. 2 and 3",No,Constitution of the Federative Republic of Brazil,N/A,
2020,Brunei Darussalam,BRN,East Asia & Pacific,High income,18,"Registration of Marriages Act, Sec. 4(1)(c); Marriage Act, Secs. 2 and 7(1)",Yes,"Registration of Marriages Act, Sec. 4(1)(c); Marriage Act, Secs. 2, 7(1) and Second Schedule",N/A,,Yes,"Registration of Marriages Act, Sec. 14(1)(a); Marriage Act, Sec. 30",No,No applicable provisions could be located,Yes,"Married Women Act, Secs. 18B-18E; Islamic Family Law, Secs. 60B-60E",Yes,"National Registration Regulations, Arts. 4 and 5; ID card application form",No,Constitution of Brunei Darussalam,N/A,
2020,Bulgaria,BGR,Europe & Central Asia,Upper middle income,18,"Family Code, Art. 6(1)",Yes,"Family Code, Art. 6(2)",Yes,"Family Code, Arts. 46(1)(1) and 47(1)(1)",Yes,"Criminal Code, Art. 176",Yes,"Criminal Code, Art. 93(31),116 (par.6, item 6a), 131 (par. 1, item 5a), 142 ( par. 2, item 5a), 142a (4), 143 ( 3),144 (3) and 144a (3)",Yes,"Protection Against Domestic Violence Act, Ch. 2",Yes,"Law for Bulgarian Identification Documents, Art. 18; ID card application procedure",No,Constitution of the Republic of Bulgaria,N/A,
2020,Burkina Faso,BFA,Sub-Saharan Africa,Low income,20,"Code des Personnes et de la Famille, Art. 238",Yes,"Code des Personnes et de la Famille, Arts. 238 and 241",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Loi No. 025-2018/AN Portant Code Pénal, Art. 531-9",Yes,"Loi No. 061-2015/CNT portant prévention, répression et réparation des violences à légard des femmes et des filles et prise en charge des victimes, Arts. 3 et 31-34",Yes,"Police Nationale du Burkina Faso; Loi No. 5-21/AN Portant Institution d’une Carte Nationale d’identite Burkinabe, Art. 2",Yes,"Constitution du Burkina Faso, Art. 101",Yes,"Constitution du Burkina Faso, Art. 101"
2020,Burundi,BDI,Sub-Saharan Africa,Low income,21,"Loi No. 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Arts. 88, 89 and 335",Yes,"Loi No. 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Arts. 88-92",Yes,"Loi No. 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Art. 148",Yes,"Loi No. 1/024 du 28 Avril 1993 Portant Réforme du Code des Personnes et de la Famille, Art. 120; Loi No. 1/13 du 22 septembre 2016 portant prévention, protection des victimes et répression des Violences Basées sur le Genre, Art. 44",Yes,"Loi No. 1/27 du 29 décembre 2017 portant révision du Code pénal, Arts. 558, 559, 560; Loi No. 1/13 du 22 septembre 2016 portant prévention, protection des victimes et répression des Violences Basées sur le Genre, Arts. 27, 49, 50 et 59",No,No applicable provisions could be located,Yes,"Ordonnance Ministérielle No. 530/060 - Carte Nationale d’Identité, Art. 4",No,Constitution de la République du Burundi,N/A,
2020,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,18,"Civil Code, Arts. 133 and 1566",Yes,"Civil Code, Arts. 1567(a), 1570(1)(d) and 1575",Yes,"Civil Code, Arts. 1593(a), 1600 and 1604(1)(a)",No,No applicable provisions could be located,Yes,"Act No. 84/VII/2011 on Gender Based Violence, Art. 23; Penal Code, Art. 134",Yes,"Act No. 84/VII/2011 on Gender Based Violence, Arts. 30 and 35-38",Yes,ID card application procedures ,No,Constitution of the Republic of Cabo Verde,N/A,
2020,Cambodia,KHM,East Asia & Pacific,Lower middle income,18,"Civil Code, Art. 948; Law on Marriage and Family, Arts. 4-5",Yes,"Civil Code, Arts. 948 and 953; Law on Marriage and Family, Arts. 5 and 22",Yes,"Civil Code, Art. 961",No,No applicable provisions could be located,Yes,"Law on the Prevention of Domestic Violence and the Protection of Victims, Arts. 19 and 35; Criminal Code, Art. 222",Yes,"Law on the Prevention of Domestic Violence and the Protection of Victims, Arts. 25 and 28-30",Yes,"Sub-Decree National Identity Cards No. 60, Art. 5",No,Constitution of the Kingdom of Cambodia,N/A,
2020,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,21,"Ordonnance No. 81/002 du 29 Juin 1981, Art. 64(2); Code Civil, Art. 488",Yes,"Ordonnance No. 81/002 du 29 Juin 1981, Arts. 52 and 64(2)",No,No applicable provisions could be located,Yes,"Code Penal, Art. 356(3)",No,No applicable provisions could be located,No,No applicable provisions could be located,No,"Décret No. 2016/375 du 4 Aout 2016, Art. 6(a); ID card application procedures",No,Constitution de la République du Cameroun,N/A,
2020,Canada,CAN,High income: OECD,High income,18,"Marriage Act, Sec. 5(1); Age of Majority Act and Accountability Act, Sec. 1",Yes,"Marriage Act, Sec. 5 and 6",No,No applicable provisions could be located,Yes,"Criminal Code, Sec. 293.2 and 295",Yes,"Criminal Code, Arts. 278 and 718.2(a)(ii)",Yes,Domestic Violence Court Program - Ontario Ministry of the Attorney General,N/A,No applicable provisions could be located,No,"Constitution Act, 1982",N/A,
2020,Central African Republic,CAF,Sub-Saharan Africa,Low income,18,"Loi No. 97.013 portant Code de la Famille, Arts. 209 et 211",Yes,"Loi No. 97.013 portant Code de la Famille, Arts. 209 et 211",Yes,"Loi No. 97.013 portant Code de la Famille, Art. 238(2)",No,No applicable provisions could be located,Yes,"Loi No. 06.032 du 27 Décembre 2006, portant Protection de la Femme contre la Violence, Arts. 1, 9 et 29",No,No applicable provisions could be located,Yes,ID card sample,No,Constitution de la République Centrafricaine de 2015,N/A,
2020,Chad,TCD,Sub-Saharan Africa,Low income,21,"Code Civil, Arts. 158 et 159",Yes,"Code Civil, Arts. 148, 158 and 159; Décret 029/PR/2015 du 21 juillet 2015 ratifiant l'Ordonnance No. 006/PR/2015 Portant Interdiction du Marriage d'Enfants, Arts. 1-3",Yes,"Ordonnace No. 006/PR/2015 du 14 mars 2015 portant interdiction du mariage d'enfants, Art. 1",Yes,"Ordonnace No. 006/PR/2015 du 14 mars 2015 portant interdiction du mariage d'enfants, Arts. 4 et 5",Yes,"Loi No. 001/PR/2017 du 8 mai 2017 portant Code Pénal, Art. 342",No,No applicable provisions could be located,Yes,ID card application procedures ,Yes,"Constitution de la République du Tchad, Arts. 157-159 et Titre XIII",Yes,"Constitution de la République du Tchad du 04 mai 2018, Art. 161"
2020,Chile,CHL,High income: OECD,High income,18,"Código Civl, Art. 106",Yes,"Código Civil, Arts. 107 y 109-112; Ley de Matrimonio Civil No. 19.947, Art. 5(3)",Yes,"Ley de Matrimonio Civil No. 19.947, Arts. 44(a), 46(a) y 48(a)",Yes,"Código Penal, Art. 388",No,No applicable provisions could be located,Yes,"Ley No. 20.066 de Violencia Intrafamiliar, Arts. 6, 13 y 16; Ley No. 19.968 crea los Tribunales de Familia, Arts. 13 y 81-101",Yes,ID card application procedures ,No,Constitución Política de la República de Chile,N/A,
2020,China,CHN,East Asia & Pacific,Upper middle income,20,"Civil Code, Art. 1047",No,No applicable provisions could be located,Yes,"Civil Code, Art. 1051(3)",No,No applicable provisions could be located,Yes,"Anti-Domestic Violence Law, Art. 33; Criminal Law, Art. 260",No,No applicable provisions could be located,Yes,"Regulations of the People's Republic of China Concerning Resident Identity Cards, Art. 3; ID card application procedures",No,Constitution of the People's Republic of China,N/A,
2020,Colombia,COL,Latin America & Caribbean,Upper middle income,18,"Código Civil, Art. 116",Yes,"Código Civil, Arts. 117 y 140",Yes,"Código Civil, Art. 140(2)",No,No applicable provisions could be located,Yes,"Código Penal, Arts. 119, 211(5) y 229",Yes,"Ley No. 294 de 1996, Título III; Decreto No. 2734 de 2012",Yes,"ID card application procedures Decreto 126 de 1970, Arts. 19 y 117",No,Constitución Política de Colombia,N/A,
